conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,global_rank,rating
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,softball,Concordia,Morgan Guggisberg,,,,10,1,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,2.0,11.0,0.0,0.0,0.182,0.182,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,"0,2",0.0,0.0,2.0,"0,3",0.0,0.0,3.0,"0,2",0.0,0.0,2.0,"0,1",0.0,0.0,1.0,0,0.0,0.0,0.0,"0,5",0,"0,3",0,0.0,0.0,0.0,44,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5180712752595564,5778,44
landmark_conference,Landmark Conference,2025-26,softball,Susquehanna,Mary Wilkinson,,,,10,8,17.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,2.0,22.0,1.0,1.0,0.118,0.118,28.0,0.0,2.0,4.0,0.0,7.0,0.0,0.0,0.0,30.0,0.933,7.0,1.0,1.0,1.0,6.0,2.0,"1,9",0.11,1.0,9.0,"2,9",0.22,2.0,9.0,"1,6",0.17,1.0,6.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,"0,3","0,1","6,12",0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.518659239250112,5779,44
mwc,Midwest Conference (MWC),2025-26,softball,Cornell College,Kaylynn Sparks,,,,22,6,12.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,1.0,16.0,2.0,0.0,0.083,0.083,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.923,0.0,0.0,3.0,0.0,4.0,0.0,"0,3",0.0,0.0,3.0,"1,6",0.17,1.0,6.0,"1,3",0.33,1.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,"0,4",0,"5,8",0,0.0,0.0,0.0,3,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.519115674565022,5780,44
lec,Little East Conference (LEC),2025-26,softball,Southern Maine,Emma Ingalls,,,,11,4,13.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412,3.0,17.0,0.0,0.0,0.231,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,"2,8",0.25,2.0,8.0,"0,6",0.0,0.0,6.0,"0,4",0.0,0.0,4.0,"0,2",0.0,0.0,2.0,0,0.0,0.0,0.0,"0,1",0,"0,6",0,0.0,0.0,0.0,92,0.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5193603655714285,5781,44
uaa,University Athletic Association (UAA),2025-26,softball,Chicago,Katelyn Ohlde,,,,16,6,17.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,21.0,1.0,1.0,0.176,0.176,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.889,0.0,0.0,0.0,2.0,5.0,5.0,"2,6",0.33,2.0,6.0,"1,9",0.11,1.0,9.0,"1,9",0.11,1.0,9.0,"0,2",0.0,0.0,2.0,0,0.0,0.0,0.0,"0,4","0,2","4,10",1,0.0,0.0,0.0,58,0.0,0.0,0.0,1.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.52056693749782,5782,44
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,softball,Spalding,T. Seals,,,,9,3,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,1.0,15.0,2.0,0.5,0.071,0.071,4.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.929,1.0,1.0,0.0,0.0,2.0,2.0,"0,4",0.0,0.0,4.0,"1,8",0.13,1.0,8.0,"0,6",0.0,0.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,4","1,1","3,8",0,0.0,0.0,0.0,12,0.0,0.0,0.0,2.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5210398466553674,5783,44
lec,Little East Conference (LEC),2025-26,softball,Western Connecticut,Lindsay Farinaccio,,,,26,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,4.0,0.0,0.0,27.0,4.0,0.0,0.0,35.0,0.886,31.0,0.871,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,"1,1",0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,1.0,20.0,12.0,10.0,0.0,10.0,3.0,0.0,0.0,118.2,72.0,50.0,43.0,57.0,22.0,7.0,3.0,2.95,472.0,536.0,10.0,6.0,0.0,1.0,14.0,0.0,1.0,6.0,0.28,97.0,182.0,2.0,"1,1","3,5",0,0.0,"1,2",-1.5214858124735606,5784,44
landmark_conference,Landmark Conference,2025-26,softball,Moravian,Sydney Scarpato,,,,11,6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,25.0,1.0,4.0,0.75,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"1,1","1,1",0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5214858124735606,5785,44
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,softball,Mount St. Joseph,L. Reimers,,,,24,8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,5.0,0.0,0.0,11.0,2.0,0.0,0.0,18.0,0.722,13.0,0.846,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,"0,1",0.0,0.0,1.0,"0,1",0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"1,1","1,1",0,0.0,0.0,0.0,3,0.0,0.0,0.0,2.0,0.0,0.0,80.0,1.0,7.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,89.2,36.0,28.0,32.0,41.0,19.0,1.0,6.0,2.19,333.0,385.0,2.0,6.0,0.0,5.0,9.0,0.0,0.0,8.0,0.24,155.0,63.0,0.0,"1,1","0,1","3,9",0.0,"0,1",-1.5214858124735606,5786,44
saa,Southern Athletic Association (SAA),2025-26,softball,Millsaps,Cassidy Cannella,,,,21,15,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,5.0,1.0,5.0,0.0,24.0,2.0,1.0,0.0,81.0,0.988,26.0,0.923,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,"0,1",0.0,0.0,1.0,"0,1",0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"1,1","1,1","0,1",0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,"1,2","0,1",0,0,"0,2",-1.5214858124735606,5787,44
lec,Little East Conference (LEC),2025-26,softball,Plymouth State,Emily Antrim,,,,20,18,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,0.0,0.0,24.0,5.0,0.0,0.0,21.0,1.0,29.0,0.828,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,"0,1",0.0,0.0,1.0,"0,1",0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"1,1","1,1",1,0.0,0.0,0.0,1,0.0,0.0,0.0,3.0,0.0,0.0,124.0,1.0,18.0,9.0,8.0,0.0,9.0,2.0,0.0,0.0,115.2,65.0,47.0,29.0,50.0,20.0,7.0,2.0,2.84,459.0,515.0,5.0,10.0,0.0,2.0,15.0,0.0,0.0,20.0,0.27,160.0,125.0,1.0,"3,5","3,11","1,5",0.0,"3,8",-1.5214858124735606,5788,44
nwc,Northwest Conference (NWC),2025-26,softball,Willamette,Karsen Angel,,,,14,11,23.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259,3.0,28.0,1.0,1.0,0.13,0.13,84.0,2.0,1.0,2.0,0.0,16.0,0.0,0.0,0.0,87.0,0.989,16.0,1.0,1.0,0.0,4.0,7.0,"0,6",0.0,0.0,6.0,"2,12",0.17,2.0,12.0,"1,7",0.14,1.0,7.0,"1,1",1.0,1.0,1.0,0,0.0,0.0,0.0,"1,9","0,1","4,13",0,0.0,0.0,0.0,"0,1",0.0,0.0,1.0,2.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5229004271151578,5789,44
uaa,University Athletic Association (UAA),2025-26,softball,Carnegie Mellon,Adams Gianna,,,,21,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,27.0,1.0,0.0,0.0,46.0,5.0,0.0,0.0,29.0,0.966,51.0,0.902,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1.0,15.0,8.0,7.0,0.0,12.0,2.0,0.0,0.0,109.0,50.0,39.0,31.0,93.0,10.0,2.0,3.0,2.5,433.0,479.0,7.0,2.0,0.0,3.0,10.0,0.0,0.0,30.0,0.261,86.0,138.0,0.0,"6,15","10,33","6,16",0,"5,17",-1.5233109923357886,5790,44
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,softball,Bluffton,H. Lennard,,,,22,15,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,32.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.844,0.0,0.0,0.0,0.0,0.0,0.0,"0,1",0.0,0.0,1.0,"0,1",0.0,0.0,1.0,0,0.0,0.0,0.0,"0,1",0.0,0.0,1.0,0,0.0,0.0,0.0,"0,1",0,"0,1",0,0.0,0.0,0.0,"0,1",0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5244379100267342,5791,44
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,softball,UW-Stevens Point,Amelia Brinkman,,,,14,0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1.0,6.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"1,2",0.5,1.0,2.0,"0,3",0.0,0.0,3.0,"0,3",0.0,0.0,3.0,"0,1",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,"0,1","1,3",0,0.0,0.0,0.0,16,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.525727000338606,5792,44
njac,New Jersey Athletic Conference (NJAC),2025-26,softball,Rutgers-Camden,"Mantzell, Zoie",,,,10,1,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,1.0,7.0,0.0,0.0,0.143,0.143,11.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0,1.0,5.0,1.0,0.0,0.0,0.0,4.0,"0,4",0.0,0.0,4.0,"0,2",0.0,0.0,2.0,"0,1",0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,2",0,"0,2",0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.525727000338606,5793,44
hcac,Heartland Collegiate Athletic Conference (HCAC),2025-26,softball,Bluffton,C. Meese,,,,16,9,11.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,1.0,14.0,0.0,0.0,0.091,0.091,6.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,8.0,1.0,18.0,1.0,0.0,1.0,4.0,4.0,"0,6",0.0,0.0,6.0,"0,6",0.0,0.0,6.0,"0,5",0.0,0.0,5.0,"1,2",0.5,1.0,2.0,0,0.0,0.0,0.0,"2,3",0,"2,8","0,1",0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,11.0,0.0,66.0,1.0,8.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,41.2,54.0,41.0,35.0,5.0,13.0,3.0,3.0,6.89,188.0,237.0,8.0,5.0,0.0,6.0,3.0,0.0,0.0,2.0,0.351,65.0,52.0,0.0,"3,4","3,8","2,3",0.0,"1,4",-1.525727000338606,5794,44
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,softball,Albion,Kayla Cole,,,,32,31,76.0,8.0,13.0,0.0,-3.0,1.0,0.0,7.0,0.0,0.0,25.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241,12.0,86.0,0.0,0.0,0.171,0.158,80.0,-9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.973,0.0,0.0,9.0,5.0,24.0,6.0,"4,14",0.29,4.0,14.0,"7,42",0.17,7.0,42.0,"0,18",0.0,0.0,18.0,"3,5",0.6,3.0,5.0,0,0.0,0.0,0.0,"2,9","-1,8","29,48",77,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5260290859949908,5795,44
nescac,New England Small College Athletic Conference (NESCAC),2025-26,softball,Trinity,Emily Killoran,,,,9,6,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,5.0,"0,6",0.0,0.0,6.0,"0,9",0.0,0.0,9.0,"0,9",0.0,0.0,9.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"1,4","1,10",2,0.0,0.0,0.0,"0,1",0.0,0.0,1.0,2.0,10.0,0.0,12.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,16.0,14.0,5.0,1.0,3.0,0.0,1.0,58.8,17.0,25.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.706,3.0,1.0,0.0,"1,1","4,8","2,2",0.0,"3,4",-1.5268440844927595,5796,44
asc,American Southwest Conference (ASC),2025-26,softball,Howard Payne,Iliana Buitron,,,,12,8,23.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,2.0,24.0,2.0,0.5,0.087,0.087,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,"0,3",0.0,0.0,3.0,"0,6",0.0,0.0,6.0,"0,5",0.0,0.0,5.0,"0,1",0.0,0.0,1.0,0.0,0.0,0.0,0.0,"2,6","0,2","0,6",1,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-1.526985446705197,5797,44
ll,Liberty League (LL),2025-26,softball,St. Lawrence,Abby Gallas,,,,12,0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,2.0,12.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,2.0,"0,2",0.0,0.0,2.0,"2,9",0.22,2.0,9.0,"1,6",0.17,1.0,6.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,"0,1","0,1","4,9","0,1",0.0,0.0,1.0,31,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.527016090650478,5798,44
aec,Atlantic East Conference (AEC),2025-26,softball,Immaculata,Reice Onorato,,,,19,17,17.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.263,4.0,19.0,0.0,0.0,0.176,0.235,2.0,17.0,0.0,0.0,0.0,24.0,3.0,1.0,0.0,19.0,1.0,27.0,0.889,0.0,0.0,7.0,3.0,"0,2",0.0,0.0,2.0,"1,9",0.11,1.0,9.0,"1,7",0.14,1.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,5","2,4","5,11",26,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,3.0,0.0,160.0,1.0,19.0,9.0,9.0,0.0,15.0,2.0,0.0,0.0,122.0,75.0,61.0,47.0,60.0,22.0,6.0,7.0,3.5,501.0,572.0,4.0,4.0,0.0,6.0,14.0,0.0,0.0,16.0,0.319,195.0,96.0,0.0,"3,7","4,14","2,12",0.0,"1,7",-1.5276865730265137,5799,44
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Alvernia,M. Eckman,,,,11,3,17.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,3.0,19.0,0.0,0.0,0.176,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,3.0,"1,9",0.11,1.0,9.0,"3,14",0.21,3.0,14.0,"2,11",0.18,2.0,11.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,"1,2","0,1","7,15","0,1",0.0,0.0,1.0,16,0.0,0.0,0.0,2.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,1.0,0.0,0,"1,3",0,0,"0,1",-1.5276865730265137,5800,44
e8,Empire 8 (E8),2025-26,softball,Houghton,Rebecca Oates,,,,35,35,72.0,5.0,8.0,6.0,1.0,0.0,0.0,3.0,0.0,2.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,9.0,77.0,0.0,0.0,0.111,0.125,35.0,6.0,2.0,0.0,0.0,13.0,2.0,0.0,0.0,43.0,0.953,15.0,0.867,2.0,5.0,22.0,13.0,"2,24",0.08,2.0,24.0,"7,37",0.19,7.0,37.0,"6,23",0.26,6.0,23.0,"1,3",0.33,1.0,3.0,0,0.0,0.0,0.0,"3,17","2,3","12,37",29,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,19.0,0.0,39.0,1.0,7.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,20.0,38.0,28.0,18.0,12.0,8.0,1.0,1.0,9.8,97.0,120.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.402,25.0,19.0,0.0,"1,4","0,1","1,1",0.0,"0,3",-1.5290946383677824,5801,44
