conference_code,conference,season,team,player_name,first_name,last_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,class_year,position,mp_total,pts_total,reb_total,ast_total,stl_total,blk_total,tov_total,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,A Cunningham,A,Cunningham,26,23.5,2.0,3.6,2.1,0.6,0.1,1.3,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,H Streb,H,Streb,17,7.1,2.0,1.3,0.1,0.1,0.2,0.3,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,La Roche,J Fougerousse,J,Fougerousse,25,9.5,1.8,1.4,0.4,0.2,0.2,0.8,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,G Moyer,G,Moyer,19,8.2,1.7,1.1,0.5,0.2,0.1,0.2,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,L Joncas,L,Joncas,17,5.2,1.5,0.7,0.2,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,E Sterling,E,Sterling,21,7.4,1.5,1.1,0.3,0.4,0.1,0.3,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,S Capers,S,Capers,18,4.5,1.3,0.7,0.3,0.2,0.1,0.5,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,D Sanchez,D,Sanchez,17,6.5,1.2,0.5,0.4,0.3,0.0,0.9,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,J Ziegler,J,Ziegler,19,4.3,1.2,0.6,0.1,0.1,0.0,0.2,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Bradford,S Brown,S,Brown,20,10.3,1.2,2.2,1.1,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,
